,İsim,IMDb Puanı,Yıl,Ülke,Film Süresi,Türler,Yönetmen,Senarist,Oyuncular,Ödüller,Konu
825,Blizzard of Souls - Dveselu Putenis,7.3,2019,Latvia,123 dakika,"Aksiyon, Dram, Tarih",Dzintars Dreibergs,"oris Frumin, Aleksandrs Grins","Greta Trusina, Martins Vilsons, Oto Brantevics",9 ödül & 10 Adaylık.,"On altı yaşındaki Arturs'un aşk hikayesi Birinci Dünya Savaşı tarafından kesintiye uğrar. Annesini ve evini kaybettikten sonra, orduya katılmakta biraz teselli buluyor, çünkü bu, Rus İmparatorluğu'nun ulusal taburlara ilk kez izin vermesidir. Ancak savaş, Arturs'un hayal ettiği gibi bir şey değil - zafer yok, adalet yok. Acımasız ve acı vericidir."
826,Precious - Acı Bir Hayat Öyküsü,7.3,2009,Amerika,110 dakika,Dram,Lee Daniels,"eoffrey Fletcher, Sapphire ","Gabourey Sidibe, Mariah Carey, Mo'Nique, Paula Patton",2 Oscar Kazandı. Diğer 112 ödül & 103 adaylık.,"Yönetmenliğini Lee Daniels’in üstlendiği filmde, Precious adlı bir genç kızın hikayesini izliyoruz. Precious ailesinden fiziksel ve psikolojik şiddet gören mutsuz bir genç kızdır. Tüm bu sorunların yanı sıra bir diğer sorunuda kilosudur. Bu durum onu iyice içine kapanık bir insan yapar. Precious bir yandan içinde bulunduğu bu durumu kader olarak görürken diğer yandan bunu değiştirmenin de kendi elinde olduğunu düşünüyor. Precious, hayal dünyası sayesinde bu sorunlardan kaçmaya çalışır... Precious – Acı Bir Hayat Öyküsü filmini kült filmlerden türkçe altyazılı 1080p, 720p görüntü kalitesiyle izle yebilirsiniz."
827,Frequency - Frekans,7.3,2000,Amerika,118 dakika,"Bilim Kurgu, Dram, Gizem, Suç",Gregory Hoblit,oby Emmerich,"Dennis Quaid, Elizabeth Mitchell, Jim Caviezel, Shawn Doyle",1 Golden Globe Adaylığı. Diğer 2 ödül & 7 adaylık.,"12 Ekim 1969'da kontrolden çıkan bir yangın kahraman bir itfaiyeci olan babası Frank'in canını aldı. Şimdiye kadar John büyürken, babasının öldüğü o kara günün trajedisini durdurmayı hayal etmediği bir gün bile geçirmedi. Şimdi 90'lı yıllarda olan John öfke ve yalnızlıkla başa çıkmaya çalışan bir polistir. 
John Sullivan, babasının ölüm yıldönümünden bir gün önce dışarıda aurora borealis olarak bilinen fırtına yaşanırken evinde babasının eski amatör radyosunu bulur ve onu kurcalamaya başlar. Elektriksel statik sayesinde kendisini itfaiyeci olduğunu iddia eden ve 1969 Dünya Kupasını bekleyen bir adamla konuşurken bulur. İlk başta bu durumun gerçek olabileceğine her ikiside inanmaz, ancak bir süre sonra ikisi de gerçekten konuştuklarının farkına varırlar. Peki bu konuştuğu kişi gerçekten babası mı? Kült filmlerden 1080p görüntü kalitesiyle Frequency altyazılı izle yebilirsiniz."
828,Raising Arizona(Arizona Junior) ,7.3,1987,United States,94 dakika,"Komedi, Suç","Ethan Coen, Joel Coen","than Coen, Joel Coen","Holly Hunter, Nicolas Cage, Trey Wilson",Bulunan ödül yok.,"Raising Arizona, sabıka fotoğrafını çekerken HI McDonnough'a aşık olan Edwina adındaki eski bir kadın polisin hikayesidir. Eski bir mahkum ve eski bir polisten oluşan bu çift evlenirler ancak çocukları olmaz, başka bir ailenin beşizlerinden birini sahiplenmeye karar verdiklerinde, hayatları umduklarından daha da karmaşık hale gelir. Kült Filmlerden 1080p görüntü kalitesiyle Raising Arizona izle yebilirsiniz."
829,‎The Shadow in My Eye - Savaşın Gölgeleri(Skyggen i mit øje) ,7.3,2021,Denmark,107 dakika,"Dram, Savaş, Tarih",Ole Bornedal,le Bornedal,"Alex Høgh Andersen, Danica Curcic, Susse Wold",2 ödül & 13 Adaylık.,Film 1945'te Kopenhag'daki Gestapo karargahının Birleşik Krallık Kraliyet Hava Kuvvetleri tarafından bombalandığı 2. Dünya Savaşı sırasında gerçek bir hikayeye dayanıyor. Bir okul yanlışlıkla bombalanırken en büyük sorun okulun çocuklarla dolu olmasıdır. Kült Filmlerden 1080p görüntü kalitesiyle ‎The Shadow in My Eye izle yebilirsiniz.
830,On My Skin - Sulla Mia Pelle(On My Skin: The Last Seven Days of Stefano Cucchi) ,7.3,2018,Italy,100 dakika,"Biyografi, Dram",Alessio Cremonini,"lessio Cremonini, Lisa Nur Sultan","Alessandro Borghi, Massimiliano Tortora, Milvia Marigliano",14 ödül & 13 Adaylık.,Son yıllardaki en tartışmalı İtalyan davalarının arkasındaki inanılmaz gerçek hikaye. Stefano Cucchi küçük bir suçtan tutuklandı ve gözaltı sırasında gizemli bir şekilde ölü bulundu. Bir hafta içinde bir aile sonsuza kadar değişir. Kült Filmlerden 1080p görüntü kalitesiyle On My Skin Life izle yebilirsiniz.
831,Belfast,7.3,2021,United Kingdom,98 dakika,"Biyografi, Dram",Kenneth Branagh,enneth Branagh,"Caitríona Balfe, Jude Hill, Lewis McAskie",1 Oscar Kazandı. 52 ödül & 237 adaylık. total,"Dokuz yaşındaki bir çocuk, aniden altüst olan bir dünyada yetişkinliğe giden bir yol çizmeli. İstikrarlı ve sevgi dolu topluluğu ve hayata dair anladığını düşündüğü her şey sonsuza dek değişir ama neşe, kahkaha, müzik ve filmlerin biçimlendirici büyüsü kalır. Kült Filmlerden 1080p görüntü kalitesiyle Belfast izle yebilirsiniz."
832,Easy Rider - Özgürlüğün Bedeli,7.3,1969,United States,2 dakika,"Dram, Macera",Dennis Hopper,"eter Fonda, Dennis Hopper, Terry Southern","Dennis Hopper, Jack Nicholson, Peter Fonda",2 Oscar Adaylığı. 8 ödül & 14 adaylık. total,"Los Angeles'tan iki genç bisikletli New Orleans'a bir yolculuğa çıktı. Amerika'yı keşfetmek niyetiyle tüm ülkeyi geçiyorlar. Los Angeles'lı bir adama kokain sattıktan sonra, Billy ve Wiatt (aka Kaptan Amerika) Mardî Gras partisine katılırlar. Küçük bir kasabada izinsiz durdukları için tutuklanmadan önce, bir çiftlik sahibi ve ailesi ya da bir hippi topluluğundan bir otostopçu da dahil olmak üzere en tuhaf karakterlerden bazılarıyla tanışarak yolculuklarına devam ederler. Sarhoş bir avukat olan hücre arkadaşları, onları hapisten çıkararak onlara büyük bir iyilik yapar ve sonra onlara katılmaya karar verir."
833,I Stand Alone - Herkese Karşı Tek Başına(Seul contre tous) ,7.3,1998,Fransa,93 dakika,"Dram, Suç",Gaspar Noé,aspar Noé,"Blandine Lenoir, Frankie Pain, Philippe Nahon",5 ödül & 6 Adaylık.,"Fransa, 1980. Bir kasap, karısı tarafından terk edildikten sonra kızıyla yalnız yaşıyor. Bir gün kızı ilk kez regl olur ve babasının kasap dükkanına koşar, oradaki kanı görünce küçük kızın tecavüze uğradığını düşünür. Kasap dükkandan dışarı fırlar ve ilk gördüğü masum bir adama saldırır. "
834,Celine and Julie Go Boating - Celine ve Julie’nin Sandal Sefası(Céline et Julie vont en bateau: Phantom Ladies Over Paris) ,7.3,1974,Fransa,193 dakika,"Dram, Fantastik, Komedi",Jacques Rivette,"uliet Berto, Dominique Labourier, Bulle Ogier","Bulle Ogier, Dominique Labourier, Juliet Berto",1 ödül,"Celine Paris'teki bir parkta gezinirken, farkında olmadan önce bir eşarbını, ardından diğer nesneleri düşürdüğünde, Julie her bir eşyayı toplayarak onu takip etmekten kendini alamaz. Böylece ikisi arasında hayali bir ilişki başlar; bu ilişki çok geçmeden Celine'in Julie'nin dairesini paylaştığını ve her birinin günlük yaşamlarında şakacı bir şekilde kimlik değiştirdiği bir hal alır. Fantezilerini giderek daha fazla şımartırken, kendilerini sözde perili bir evden genç bir kızı kurtarmaya çalışırken bulurlar. Kült Filmlerden 1080p görüntü kalitesiyle The Story of Marie and Julien izle yebilirsiniz."
835,Death and the Maiden - Ölüm ve Bakire,7.3,1994,"Fransa, United Kingdom",103 dakika,"Dram, Gerilim, Gizem",Roman Polanski,"riel Dorfman, Rafael Yglesias","Ben Kingsley, Sigourney Weaver, Stuart Wilson",Bulunan ödül yok.,"Paulina Escobar (Sigourney Weaver), avukat kocasının (Stuart Wilson) eve getirdiği konuğun (Ben Kingsley) yıllar önce onu kaçıran, işkence eden ve tecavüz eden adamla aynı adam olduğuna ikna olmuştur. Onu silah zoruyla tutsak ederek, defalarca ona saldırır ve suçunu itiraf etmesini ister. Kocası, karısının ve iddialarının arkasında durmaya çalışır, ancak karısının hikayesinden ve iddialarından şüphe duymaya başlar. Kült Filmlerden 1080p görüntü kalitesiyle Death and the Maiden izle yebilirsiniz."
836,The Sucker - Belalı Tatil(Le corniaud) ,7.3,1965,"Fransa, İspanya, Italy",111 dakika,"Dram, Komedi, Macera",Gérard Oury,"érard Oury, Marcel Jullian, Georges Tabet","Bourvil, Louis de Funès, Venantino Venantini",Bulunan ödül yok.,"Antoine Maréchal, Bay Saroyan ile İtalya'ya tatile gitmek için Paris'ten ayrılır ancak yolda bir trafik kazası geçirir. Tatilinin mahvolduğunu düşünür ama ertesi gün Saroyan ona Napoli'den Bordeaux'ya bir Cadillac sürmesini teklif eder. Aslında Saroyan bir mafya babasıdır ve Cadillac'ta dünyanın en büyük elması Youkounkoun da dahil olmak üzere eroin, çalıntı altın ve değerli taşlar saklamıştır."
837,Prey,7.3,2022,United States,0,"Aksiyon, Dram, Korku, Macera",Dan Trachtenberg,atrick Aison,"Amber Midthunder, Dane DiLiegro, Harlan Blayne Kytwayhat",Bulunan ödül yok.,"300 yıl önce Comanche Nation'da geçen ""Prey"", genç bir kadın olan Naru'nun, şiddetli ve çok yetenekli bir savaşçını haline gelmesinin hikayesidir. Great Plains'de dolaşan en efsanevi avcılardan bazılarının gölgesinde büyümüştür, bu yüzden tehlike kampını tehdit ettiğinde halkını korumak için yola çıkar. Takip ettiği ve sonunda yüzleştiği av, teknik olarak gelişmiş bir cephaneliğe sahip, oldukça gelişmiş bir uzaylı avcısı olarak ortaya çıkıyor ve iki düşman arasında kısır ve korkunç bir hesaplaşmaya neden oluyor."
838,The Bothersome Man - Sorun Yaratan Adam,7.3,2006,"İzlanda, Norveç",95 dakika,"Dram, Fantastik",Jens Lien,er Schreiner,"Birgitte Larsen, Per Schaanning, Petronella Barker, Trond Fausa",26 ödül & 9 Adaylık.,"Kırk yaşındaki Andreas, günün birinde oraya nasıl geldiğini bilmeden kendini garip bir şehirde bulur. Ona burada bir iş, bir daire hatta bir eş sunulur. Ancak çok geçmeden Andreas bir şeyin yanlış olduğunu fark eder. Andreas şehirden kaçma girişiminde bulunur, ancak çıkış yolu olmadığını keşfeder. Mahzenindeki bir duvarda bir çatlak bulan Hugo ile tanışır. Belki ""dış dünyaya"" yol açar düşüncesiyle? Kaçmak için yeni bir plan yaparlar."
839,Dear Ex(Shei xian ai shang ta de) ,7.3,2018,Taiwan,100 dakika,"Dram, Komedi, Romantik","Chih-Yen Hsu, Mag Hsu","ag Hsu, Shih-yuan Lu","Roy Chiu, Spark Chen, Ying-Hsuan Hsieh",12 ödül & 18 Adaylık.,"Bir genç, inatçı annesi ile vefat eden babasının hem sevgilisi hem de hayat sigortası lehtarı olan özgür ruhlu bir adam arasındaki sert kavgada yolunu bulmaya çalışır. Kült Filmlerden 1080p görüntü kalitesiyle Dear Ex izle yebilirsiniz."
840,Read My Lips - Dudaklarımı Oku(Sur mes lèvres) ,7.3,2001,Fransa,115 dakika,"Dram, Romantik, Suç",Jacques Audiard,"acques Audiard, Tonino Benacquista","Emmanuelle Devos, Olivier Gourmet, Vincent Cassel",7 ödül & 12 Adaylık.,"Sağır bir genç kadın olan bir inşaat şirketi sekreteri, dünya çok zahmetli hale geldiğinde işitme cihazının sesini kısma alışkanlığına sahiptir. Bir gün, bir dolandırıcı ve eski hükümlü olan Paul, iş aramak için ofisi ziyaret ettiğinde görünüşü, işitme cihazının sesini açmaya karar vermesine neden oluyor."
841,Inside the Mind of a Cat,7.3,2022,United States,67 dakika,Belgesel,Andy Mitchell,Senarist belirtilmemiş.,Oyuncular belirtilmemiş.,Bulunan ödül yok.,"Inside the Mind of a Cat'te Grumpy Cat, Lil Bub ve diğer ünlü kedilerin kendi başlarına viral hale gelmesini sağlayan şeye tanık oluyoruz. Bir kedinin arkasındaki hayat zorlu olabilir, ancak bu belgesel onların davranışlarını ve insanlarla nasıl etkileşime girdiklerini anlamamıza yardımcı oluyor."
842,Shiny_Flakes: The Teenage Drug Lord(Shiny_Flakes: 19'unda Uyuşturucu Baronu) ,7.3,2021,Almanya,96 dakika,"Belgesel, Biyografi, Suç","Eva Müller, Michael Schmitt",va Müller,Maximilian Schmidt,Bulunan ödül yok.,"""How to Sell Drugs Online (Fast)"" dizisine ilham veren bu öyküde Max S. küçük yaşta ailesiyle oturduğu evdeki odasında nasıl uyuşturucu imparatorluğu kurduğunu anlatıyor."
843,The Unbearable Lightness of Being - Varolmanın Dayanılmaz Hafifliği,7.3,1988,United States,171 dakika,"Dram, Romantik",Philip Kaufman,"ilan Kundera, Jean-Claude Carrière, Philip Kaufman","Daniel Day-Lewis, Juliette Binoche, Lena Olin",2 Oscar Adaylığı. 7 ödül & 14 adaylık. total,"Tomas, ilk karısından boşandıktan sonra kesinlikle erotik arkadaşlıklara inanır. Ancak Tereza ile tanıştığında kuralını bozar ve çok geçmeden evlenirler. Onu sevmesine rağmen, diğer kadınlarla erotik arkadaşlıklarını sürdürmeyi bırakamaz. Bu arkadaşlardan biri de ressam olan Sabina'dır. Tereza'nın resim konusunda kendini geliştirmesi için yardım eder. Tomas fotoğrafçılık yapmak istediğini söylediğinde Sabina ona ünlü fotoğrafların monograflarını verir ve onları bu kadar harika yapan şeyin ne olduğunu anlamasına yardımcı olur. Onun vesayeti altında Tereza, profesyonel bir fotoğrafçı olur. Rusya, Çekoslovakya'yı işgal ettiğinde, diğer fotoğrafçılar gibi, Tereza da Rusya'nın vahşetlerini ve suçlarını kendi objektifinden kaydetmeye başlar. Kült Filmlerden 1080p görüntü kalitesiyle The Unbearable Lightness of Being izle yebilirsiniz."
844,The Merchant of Four Seasons - Dört Mevsim Satıcısı(Händler der vier Jahreszeiten) ,7.3,1972,West Almanya,88 dakika,Dram,Rainer Werner Fassbinder,ainer Werner Fassbinder,"Hanna Schygulla, Hans Hirschmüller, Irm Hermann",3 ödül & 6 Adaylık.,"Bu ıstıraplı ama bir o kadar da komik filmde, Fassbinder bir meyve satıcısı olarak çalışarak ailesinin geçimini sağlamak için mücadele eden, kendine zarar veren eski bir polis memurunun ve savaş gazisinin düşüşünü anlatıyor."
845,Quills - Düşlerin Efendisi,7.3,2000,"Almanya, United Kingdom",124 dakika,"Biyografi, Dram",Philip Kaufman,oug Wright,"Geoffrey Rush, Joaquin Phoenix, Kate Winslet",3 Oscar Adaylığı. 18 ödül & 45 adaylık. total,"Toplumun gerçekten bir birey üzerinde ne kadar etkisi var? Quills bu soruya cevap arıyor. Geoffrey Rush, bu filmde 1804'te Charenton akıl hastanesinde ölen gerçek bir tarihi Fransız pornocu olan Marquis de Sade'ı oynuyor. Rush, oda hizmetçisi olan Kate Winslet'e aşıktır. Kült Filmlerden 1080p görüntü kalitesiyle Quills izle yebilirsiniz."
846,The Menu,7.3,2022,United States,106 dakika,"Gerilim, Komedi, Korku",Mark Mylod,"eth Reiss, Will Tracy","Anya Taylor-Joy, Nicholas Hoult, Ralph Fiennes",Bulunan ödül yok.,"Will Tracy ve Seth Reiss tarafından kaleme alınan film, ""ücra bir adada seçkin bir restoran ziyaret eden genç bir çifte odaklanıyor; burada ünlü şef, şok edici bir sürprizle birlikte bolca bir tatma menüsü hazırlıyor."" Deadline, “Fiennes, her şeyi ayarlayan ve planlanan menüye beklenmedik malzemeler ekleyen birinci sınıf şefi oynuyor."
847,Submarine - Denizaltı,7.3,2010,"United Kingdom, United States",97 dakika,"Dram, Komedi, Romantik",Richard Ayoade,"ichard Ayoade, Joe Dunthorne","Craig Roberts, Paddy Considine, Sally Hawkins",1 BAFTA Award6 wins & 17 nominations total.Nominated for 1 BAFTA Award6 ödül & 17 Adaylık. total,"Erken gelişmiş Oliver sosyalleşmekte zorlanır, ancak siyah saçlı güzel bir kız ona ilgi duymaya başladığında işler değişmeye başlar. Bu arada, annesinin eski erkek arkadaşı yan eve taşındığında, ebeveynlerinin zaten zorlu olan ilişkisi tehdit altına girer. Oliver, ailesinin bir arada kalmasını ve Jordana'nın onu sevmesini sağlamak için alışılmışın dışında planlar yapar."
848,Dogtooth - Köpek Dişi(Kynodontas) ,7.3,2009,Greece,97 dakika,Dram,Yorgos Lanthimos,"fthymis Filippou, Yorgos Lanthimos","Angeliki Papoulia, Christos Stergioglou, Hristos Passalis, Michele Valley",1 Oscar Adaylığı. Diğer 20 ödül & 18 adaylık.,"Film dünya dışındaki bir gezegende yaşıyormuş gibi izole edilmiş bir kırsal arazide ailesiyle birlikte yaşayan üç kardeşin hikayesini ele alıyor. Üçlü günlerini, onlara yepyeni bir kelime dağarcığı öğreten kasetleri dinleyerek geçiriyor. Bu üç kardeş yaşadıkları evin dışından gelen her kelimeye anında yeni bir anlam veriyor. Bu yüzden 'deniz' büyük bir koltuğu ifade ederken 'zombiler' küçük sarı çiçeklerdir. İtaatsizliği nedeniyle dışlandığını iddia ettikleri hayali bir erkek kardeş üreten über kontrolcü ebeveynler çocuklarını terörize ederek boyun eğdirmeye çalışıyor. Çocuklar için dışarı çıkabilmelerinin tek yolu vardır; o da ""köpek dişlerinin"" düşmesi…"
849,Karayip Korsanları: Ölü Adam’ın Sandığı(Pirates of the Caribbean: Dead Man's Chest) ,7.3,2006,United States,151 dakika,"Aksiyon, Fantastik, Macera",Gore Verbinski,"ed Elliott, Terry Rossio, Stuart Beattie","Johnny Depp, Keira Knightley, Orlando Bloom",1 Oscar Kazandı. 45 ödül & 54 adaylık. total,"Efsaneye göre Davy Jones adında işkence görmüş bir ruh, emrinde korkunç bir deniz canavarıyla denizin altında yaşıyor. Hayalet korsan Davy Jones bir kan borcunu tahsil etmeye geldiğinde, Kaptan Jack Sparrow, ruhunun sonsuza kadar lanetlenmesinin önüne geçerek kaderinden kaçınmanın bir yolunu bulmalıdır. Kült Filmlerden 1080p görüntü kalitesiyle Pirates of the Caribbean: Dead Man's Chest izle yebilirsiniz."
850,Take Shelter - Sığınak,7.3,2011,United States,120 dakika,"Bilim Kurgu, Dram, Korku",Jeff Nichols,eff Nichols,"Jessica Chastain, Michael Shannon, Shea Whigham",42 ödül & 46 Adaylık.,"Bir baba ve koca olan Curtis, kötü rüyalar ve halüsinasyonlar görmeye başlıyor. Akıl hastalığı varsayarak, tıbbi yardım ve danışmanlık almaya başlar. Ancak, en kötüsünden korkarak, arka bahçelerinde ayrıntılı ve pahalı bir fırtına sığınağı inşa etmeye başlar. Bu fırtına sığınağı ailesini parçalamakla tehdit ediyor, akıl sağlığını ve toplumdaki konumunu tehdit ediyor, ancak ailesinin hayatını kurtarmak için inşa etmeye devam eder."
